Category,Founds Amounts,style,please leave this column alone
HUS,4683,#BF69BA,High School & University Scholarships
HSEE,4585,#f1ca3a,High School and Elementary Education
PSE,17735,#30BAD9,Pre School Education
ICB,17852,#D9734E,Infrastructure and Capacity Building
