Country,Number of Chindren,Style,leave this column alone
Argentina,1630,#FA94E6,
Brazil,1170,#f1ca3a,
Panama,1030,#6f9654,
USA,1000,#b87333,
Ecuador,990,#E92669,
Haiti,860,#0583F2,
Nicaragua,660,#1c91c0,
