Category,Founds Amounts,style,please leave this column alone
HUS,495,#BF69BA,High School & University Scholarships
HSEE,60,#f1ca3a,High School and Elementary Education
PSE,922,#30BAD9,Pre School Education
ICB,521,#D9734E,Infrastructure and Capacity Building
