Country,Number of Chindren,Style,leave this column alone
DRC,1350,#0583F2,
Burkina Faso,1170,#f1ca3a,
Uganda,1030,#6f9654,
Kenya,1000,#b87333,
Tanzania,820,#E92669,
Zimbabwe,660,#1c91c0,
