Category,Founds Amounts,style,please leave this column alone
HUS,3318,#BF69BA,High School & University Scholarships
HSEE,4295,#f1ca3a,High School and Elementary Education
PSE,2000,#30BAD9,Pre School Education
ICB,2145,#D9734E,Infrastructure and Capacity Building
